width,noise,instance number, greedy mean,greedy stdev,pagerank value,regret value,optimal value
100,0.09,5,35.22,1.09462,37.1472,42.9396,44.9415
100,0.09,6,34.97,0.928405,35.0845,42.5628,44.3931
100,0.09,7,36.38,0.984038,36.1125,44.0897,46.7042
100,0.09,8,33.52,0.870532,33.6502,40.7665,42.6474
100,0.09,9,35.83,1.01426,37.5733,42.7879,45.6911
100,0.09,10,35.98,0.977372,36.5035,43.3069,46.0307
100,0.09,11,35.7,1.01835,36.5436,43.9162,45.3763
100,0.09,12,35.02,1.08037,35.3643,43.3409,45.4792
100,0.09,13,33.59,1.09783,35.0154,40.4183,42.9423
100,0.09,14,35.49,0.991139,37.5383,44.0389,46.0639
100,0.09,15,35.59,1.07933,37.6366,42.9415,45.9898
100,0.09,16,35.95,1.0547,36.2085,43.5314,46.4267
100,0.09,17,35.99,0.938802,37.006,43.7703,47.0638
100,0.09,18,38.09,1.07792,38.5382,44.5422,46.5896
100,0.09,19,38.62,0.926261,39.6757,44.9622,47.5378
100,0.1,0,39.12,0.924331,40.2798,45.5029,48.1199
100,0.1,1,35.41,1.03041,34.09,42.5267,45.0238
100,0.1,2,38.05,1.02576,39.5586,44.994,47.424
100,0.1,3,39.45,1.02701,39.7582,46.2168,49.537
100,0.1,4,37.82,1.06267,38.485,45.7631,48.2811
100,0.1,5,35.72,0.959755,34.3812,43.0419,45.1203
100,0.1,6,38.31,1.06943,37.9378,44.8901,46.9216
100,0.1,7,36.92,1.0973,35.7868,43.8164,46.6278
100,0.1,8,39.94,0.995769,39.3637,47.4985,50.0615
100,0.1,9,36.41,1.00701,38.7222,42.9831,46.2933
100,0.1,10,37.59,0.968779,38.56,44.8451,47.501
100,0.1,11,40.85,1.0276,42.0526,48.3238,51.0346
100,0.1,12,36.15,1.02416,36.5293,43.2685,45.4343
100,0.1,13,35.71,1.0097,36.7612,43.1374,45.7306
100,0.1,14,34.35,1.08605,35.8368,41.8431,43.9164
100,0.1,15,39.6,0.882996,40.3691,46.5166,48.5971
100,0.1,16,35.76,1.13053,36.6013,42.6797,44.7666
100,0.1,17,34.48,1.04157,34.8921,41.7161,43.9702
100,0.1,18,41.45,1.01921,41.9093,47.9081,50.6349
100,0.1,19,38.96,1.03493,38.0804,46.8814,48.7993
100,0.11,0,37.36,1.0113,37.9944,44.5507,47.1049
100,0.11,1,37.9,0.976873,38.2456,44.8046,47.4475
100,0.11,2,40.11,0.909882,39.9623,46.0964,48.4645
100,0.11,3,38.05,1.08631,39.6719,44.8008,47.5498
100,0.11,4,38.01,1.00828,39.3475,45.382,47.9862
100,0.11,5,36.78,0.918548,37.4419,43.8866,45.8986
100,0.11,6,38.64,1.03628,38.2803,45.6843,48.2957
100,0.11,7,35.4,0.905028,35.9483,42.8813,44.8641
100,0.11,8,35.81,1.04801,35.9148,43.9751,45.9966
100,0.11,9,40.94,0.910485,42.0135,47.9046,50.0839
100,0.11,10,40.36,0.972247,39.8868,46.7028,48.5102
100,0.11,11,36.88,1.04249,38.3829,44.6506,47.3467
100,0.11,12,34.81,0.931966,35.8913,42.4999,44.8834
100,0.11,13,36.65,1.0679,36.6838,44.4162,47.5323
100,0.11,14,38.7,0.897509,39.272,45.1274,47.2264
100,0.11,15,38.22,0.89509,37.5979,44.6027,46.9734
100,0.11,16,34.86,1.02116,35.8837,41.1118,43.7164
100,0.11,17,38.76,0.976899,37.7195,45.936,49.0186
100,0.11,18,36.78,1.03576,39.661,44.3066,47.1917
100,0.11,19,37.9,1.05958,38.501,45.8409,48.2129
100,0.12,0,38.09,1.17575,38.4062,45.5056,48.1214
100,0.12,1,33.66,0.940813,33.1811,41.5176,43.6419
100,0.12,2,37.11,1.04549,37.7879,44.7187,46.9133
100,0.12,3,38.31,1.02954,38.0523,45.7659,48.6219
100,0.12,4,40.2,0.990591,39.0458,47.3589,49.744
100,0.12,5,37.64,0.989834,39.3769,45.1066,47.7972
100,0.12,6,36.54,0.961313,37.3771,44.4115,46.1299
100,0.12,7,35.66,1.11622,37.3551,42.1751,44.4782
100,0.12,8,38.32,1.02831,39.1985,45.6788,47.4213
100,0.12,9,37.87,1.0839,39.7307,46.5424,48.617
100,0.12,10,36.17,1.14204,35.9193,43.8761,46.815
100,0.12,11,38.83,1.10513,39.201,45.8187,47.8546
100,0.12,12,37.07,1.00291,37.5685,44.9969,46.3916
100,0.12,13,36.85,1.1248,37.9572,44.3047,46.5427
100,0.12,14,36.13,0.927317,37.8903,42.7335,45.7279
100,0.12,15,39.74,0.949562,39.3287,46.5054,49.9289
100,0.12,16,37.74,0.971667,38.0108,43.7824,45.8087
100,0.12,17,36.77,1.01123,37.851,44.1441,46.8578
100,0.12,18,37.34,1.04168,37.6769,44.7475,47.2019
100,0.12,19,39.6,0.978178,40.9693,46.2257,48.9009
100,0.13,0,39.7,1.06788,39.9019,46.0707,48.9424
100,0.13,1,36.67,0.925434,37.2822,44.072,46.3673
100,0.13,2,37.54,0.956575,37.1436,44.0072,45.626
100,0.13,3,37.51,1.02914,39.0606,44.0004,46.9725
100,0.13,4,35.33,1.04869,35.6878,42.0987,44.1788
100,0.13,5,35.67,0.873411,36.021,42.2723,44.5907
100,0.13,6,36.27,1.06001,36.4644,43.1546,45.3376
100,0.13,7,34.71,0.976578,34.6053,41.263,44.4942
100,0.13,8,34.1,0.954653,33.8261,41.4531,43.3202
100,0.13,9,35.86,0.929002,35.8402,42.6755,44.9796
100,0.13,10,37.82,0.971964,39.8131,44.9199,47.141
100,0.13,11,33.97,0.819326,34.2213,40.0788,42.6158
100,0.13,12,36.95,0.984602,38.1492,43.2525,45.4742
100,0.13,13,36.95,1.01314,37.998,43.2104,44.5808
100,0.13,14,39.57,1.00911,39.6058,46.6797,48.86
100,0.13,15,37.69,0.974888,38.5541,44.6674,47.2103
100,0.13,16,35.62,1.0343,35.6292,42.7798,44.8145
100,0.13,17,35.04,0.922854,35.019,42.387,44.7607
100,0.13,18,36.74,0.924499,37.2127,44.0064,45.0038
100,0.13,19,32.98,1.0264,31.9185,40.2887,42.433
100,0.14,0,39.22,0.818527,39.677,44.4288,47.0141
100,0.14,1,37.27,0.925598,37.6191,44.152,46.8467
100,0.14,2,38.5,0.937791,39.3322,45.9528,48.0735
100,0.14,3,37.29,0.93643,36.2583,44.4681,46.8125
100,0.14,4,38.08,0.899572,38.994,45.0359,47.5976
100,0.14,5,39.04,0.944085,39.175,45.616,47.6733
100,0.14,6,36.53,0.917131,38.7445,42.9734,44.9424
100,0.14,7,36.48,1.05199,36.3483,43.8321,46.4737
100,0.14,8,37.61,0.981604,37.8911,43.8675,45.946
100,0.14,9,40.58,0.94995,40.232,46.7282,48.9983
100,0.14,10,37.01,0.928868,38.1023,43.9579,46.4483
100,0.14,11,40.05,0.981475,40.2775,46.9206,49.3993
100,0.14,12,36.92,1.04325,37.6716,44.1648,46.9074
100,0.14,13,37.22,1.00063,38.7051,44.0279,46.637
100,0.14,14,37.13,0.900804,36.2832,43.4443,45.5817
100,0.14,15,37.72,1.10109,39.6504,44.5782,47.2917
100,0.14,16,39.74,0.990893,41.6465,45.9857,48.436
100,0.14,17,35.96,1.01162,34.5849,43.2024,46.0407
100,0.14,18,38.61,0.946176,39.1156,43.8521,46.1472
100,0.14,19,39.19,1.04142,39.0366,45.9402,48.3574
100,0.15,0,37.3,1.03119,38.5101,44.3118,46.3836
100,0.15,1,37.47,1.02557,39.3952,44.1706,46.9291
100,0.15,2,39.13,1.01005,39.1058,45.3251,48.8041
100,0.15,3,35.45,0.850831,35.0425,42.0367,44.5261
100,0.15,4,37.58,1.14132,38.7999,44.0081,45.8329
100,0.15,5,37.49,1.11457,38.554,45.2452,47.4065
100,0.15,6,39.33,1.07579,39.9251,48.132,49.6904
100,0.15,7,37.27,0.95563,37.8554,44.3441,45.765
100,0.15,8,37.51,0.963991,38.6933,44.2934,45.1316
100,0.15,9,36.72,0.922597,37.5768,42.8543,45.0072
100,0.15,10,36.08,0.853741,36.8426,42.3038,45.075
100,0.15,11,36.91,0.85913,37.1827,43.9,46.1866
100,0.15,12,34.84,0.966342,35.2154,41.6792,44.1039
100,0.15,13,37.73,0.923514,37.7424,45.2293,47.4712
100,0.15,14,36.46,0.862434,36.8615,42.8114,44.9509
100,0.15,15,35.8,1.11305,35.8918,43.3391,45.5463
100,0.15,16,37.4,0.929872,38.645,43.3091,45.8714
100,0.15,17,39.51,0.939776,38.5808,46.0304,48.2386
100,0.15,18,38.42,0.937736,39.8359,45.1117,47.4694
100,0.15,19,33.15,1.06989,35.1949,41.0043,42.7744
100,0.16,0,36.35,1.04295,35.6406,44.1772,46.8146
100,0.16,1,35.68,0.973701,35.5621,42.8,45.0217
100,0.16,2,38.24,0.93446,38.7384,44.6784,46.5941
100,0.16,3,39.79,0.986605,40.5073,46.2643,49.3819
100,0.16,4,36.16,0.860148,36.4863,43.1506,44.8844
100,0.16,5,38.34,1.07662,40.279,45.3239,47.7503
100,0.16,6,38.04,0.981084,40.226,45.3092,46.5271
100,0.16,7,36.47,0.997531,37.0009,43.2264,45.3756
100,0.16,8,35.89,0.963607,37.4753,43.1918,45.1582
100,0.16,9,36.44,0.89845,35.3459,43.9933,46.288
100,0.16,10,37.33,0.917636,38.3352,43.8827,46.0019
100,0.16,11,34.79,0.984516,35.701,42.0227,44.0306
100,0.16,12,38.57,0.894128,38.5087,44.8084,47.181
100,0.16,13,33.96,0.981864,34.3197,40.4212,43.2563
100,0.16,14,39.18,0.796495,39.6831,45.4791,47.7348
100,0.16,15,37.28,0.926647,37.2017,43.4648,45.2588
100,0.16,16,37.55,0.958319,37.6015,43.6955,46.7075
100,0.16,17,37.86,0.951588,37.5721,45.1746,47.4201
100,0.16,18,36.03,0.984137,36.5122,42.472,44.3539
100,0.16,19,37.47,0.927436,37.7215,44.8298,47.2984
100,0.17,0,37.94,0.841794,39.905,43.7085,45.1318
100,0.17,1,36.02,0.925498,36.3794,42.6778,44.9259
