width,noise,instance number, greedy mean,greedy stdev,pagerank value,regret value,optimal value
100,0.3,8,37.43,0.987281,38.8693,42.9319,44.8081,45.6459
100,0.3,9,35.78,0.837972,35.7493,41.3293,42.8204,43.4351
100,0.3,10,35.42,0.914716,37.2261,39.588,40.7199,41.5048
100,0.3,11,38.39,0.853413,38.2548,43.7875,45.5264,46.1991
100,0.3,12,38.69,0.824547,39.8458,43.1197,44.7026,45.1622
100,0.3,13,38.16,0.842083,39.5129,42.9962,45.3492,46.04
100,0.3,14,35.96,0.83035,37.6405,41.1106,42.9446,43.7394
100,0.3,15,37.87,0.752839,38.5129,42.1835,43.9132,44.3915
100,0.3,16,37.14,0.821062,38.0276,42.679,44.1392,44.9523
100,0.3,17,39.28,0.844177,40.8846,44.1725,45.3924,46.1049
100,0.3,18,40.06,0.89549,40.9617,45.2861,46.859,47.5224
100,0.3,19,34.09,1.01348,35.9973,40.1414,41.1392,41.9383
100,0.3,20,38.65,0.855948,40.9333,43.7519,45.1879,45.7757
100,0.3,21,37.27,0.867971,37.8025,42.4264,44.8132,45.6039
100,0.3,22,38.51,0.91793,37.8208,43.5805,45.5507,46.3903
100,0.3,23,40.13,0.830548,40.8775,44.5809,46.5653,47.2219
100,0.3,24,35.17,0.843584,35.6562,39.9066,42.0905,42.9269
100,0.3,25,36.8,0.839176,38.2912,42.225,43.0493,43.8782
100,0.3,26,38.46,0.849278,39.0603,43.093,45.1104,45.9167
100,0.3,27,38.18,0.820149,39.5896,42.7131,45.134,45.6621
100,0.3,28,34.61,0.830665,35.4886,40.2765,41.5085,42.3349
100,0.3,29,37.88,0.809222,40.1101,42.562,43.6946,44.3173
100,0.3,30,38.98,0.877314,37.9655,44.5918,45.4659,46.3318
100,0.3,31,38.03,0.854764,38.2338,43.7002,44.502,45.5962
100,0.3,32,37.33,0.855642,37.0892,42.9242,44.0298,44.6784
100,0.3,33,38.07,0.831292,39.3184,43.7168,45.472,45.9148
100,0.3,34,38.23,0.883167,38.4965,43.6871,44.9763,45.6457
100,0.3,35,36.13,0.93229,35.8566,41.0949,43.4946,44.1225
100,0.3,36,37.28,0.810214,38.0527,42.554,43.3656,44.1579
100,0.3,37,37.76,0.859309,39.8081,43.5126,44.8702,45.5734
100,0.3,38,36.51,0.858813,37.7517,41.0452,42.2342,42.7588
100,0.3,39,38.64,0.830178,39.244,42.875,44.417,45.091
100,0.3,40,37.02,0.844158,36.8409,42.3305,44.3174,45.1053
100,0.3,41,36.76,0.883899,37.2742,41.8242,43.8213,44.6283
100,0.3,42,36.44,0.91229,36.979,42.4334,43.6592,44.438
100,0.3,43,36.28,0.841158,36.0004,41.3377,42.436,43.156
100,0.3,44,36.93,0.836269,37.7773,42.4085,44.1914,45.0468
100,0.3,45,38.07,0.884912,38.8852,43.1124,44.5338,45.1598
100,0.3,46,37.43,0.844089,39.6037,42.6123,44.5127,45.3388
100,0.3,47,38.24,0.8745,39.8029,43.2606,45.1712,45.8957
100,0.3,48,38.37,0.80477,39.5953,43.1166,44.9302,45.7867
100,0.3,49,39.82,0.755335,40.8465,43.9879,45.6586,46.5683
100,0.4,0,40.42,0.729605,41.8213,44.4467,45.2552,46.5308
100,0.4,1,38.02,0.742393,39.366,42.1956,43.1897,44.3392
100,0.4,2,39.95,0.756896,40.3582,44.1368,45.588,46.3024
100,0.4,3,41.3,0.804537,41.2241,45.0946,46.589,47.5743
100,0.4,4,39.39,0.844922,40.5411,43.0388,45.6721,46.3754
100,0.4,5,38.38,0.769799,38.8507,42.0563,43.4807,44.4902
100,0.4,6,39.58,0.84255,41.2385,43.6017,45.3189,46.1992
