width,noise,instance_number, greedy_mean,greedy_stdev,pagerank_value,regret_value,global_greedy,optimal_value
100,0.02,15,44.74,0.372011,43.9352,45.3507,45.4518,46.1279
100,0.02,16,44.04,0.734885,43.0083,45.0562,45.1097,45.8852
100,0.02,17,44,0.569428,42.8073,44.7174,44.7605,45.9089
100,0.02,18,43.52,0.549899,42.0431,44.2381,44.479,45.4203
100,0.02,19,44.06,0.645905,43.9928,44.975,45.0859,46.0878
100,0.02,20,43.06,0.659021,41.8129,43.9897,43.9937,45.4094
100,0.02,21,42.96,0.562295,40.4217,43.7898,44.1725,45.1551
100,0.02,22,44.14,0.685575,41.6118,45.2626,45.2959,46.154
100,0.02,23,42.14,0.680344,40.7806,43.2281,43.1594,44.6417
100,0.02,24,43,0.550872,41.623,43.9914,43.8245,45.0702
100,0.02,25,43.98,0.593146,43.048,44.5957,45.1925,45.852
100,0.02,26,43.64,0.511171,42.608,44.3217,44.6131,45.6551
100,0.02,27,45,0.4776,44.568,45.7795,45.8051,46.414
100,0.02,28,44.44,0.520714,43.3693,45.4086,45.2699,46.0586
100,0.02,29,44.92,0.349591,43.3691,45.7863,45.5526,46.4486
100,0.02,30,44.56,0.505937,43.4365,45.5261,45.5022,46.2697
100,0.02,31,44.08,0.670421,42.8811,45.0018,45.2635,46.034
100,0.02,32,44.74,0.432762,43.5658,45.3238,45.495,46.3048
100,0.02,33,43.04,0.638006,41.1859,44.1592,43.7899,45.2908
100,0.02,34,44.52,0.48,43.6077,45.3534,45.652,46.2438
100,0.02,35,43.06,0.632542,41.1977,43.888,44.3646,45.4005
100,0.02,36,42.84,0.478017,41.004,43.864,43.6546,44.8628
100,0.02,37,42.2,0.648047,40.754,43.1108,42.8818,44.4925
100,0.02,38,44.1,0.648372,43.3195,45.0889,45.2259,45.9945
100,0.02,39,44.98,0.358197,44.3112,45.2706,45.664,46.2894
100,0.02,40,44.04,0.72772,43.7568,44.8296,45.2371,45.9081
100,0.02,41,44.76,0.440912,43.763,44.9163,45.5385,46.2302
100,0.02,42,45,0.619706,44.9873,45.4161,46.0918,46.5076
100,0.02,43,43,0.741827,41.9776,43.8138,44.1016,45.2365
100,0.02,44,44.32,0.590499,42.3071,45.3056,45.354,46.0605
100,0.02,45,43.58,0.507732,41.5272,44.216,44.7717,45.6671
100,0.02,46,44.9,0.416737,43.7883,45.3922,45.4718,46.4503
100,0.02,47,44.08,0.651087,43.1484,44.851,45.3171,45.8666
100,0.02,48,44.52,0.495552,43.0365,44.9938,45.7086,46.208
100,0.02,49,44.98,0.411368,44.4673,45.4108,45.6231,46.3426
100,0.03,0,41.46,0.584383,40.7282,42.4376,42.5831,43.7995
100,0.03,1,43.96,0.546418,42.172,44.7403,45.0024,45.8348
100,0.03,2,42.32,0.652579,39.9646,43.0538,43.7838,44.773
100,0.03,3,43.16,0.682262,42.7648,44.1817,44.3069,45.3629
100,0.03,4,43.32,0.542714,41.5842,43.7739,44.4258,45.5007
100,0.03,5,43.54,0.474985,42.8133,44.1267,44.2293,45.2625
100,0.03,6,44.02,0.620428,43.495,45.139,44.9017,45.8839
100,0.03,7,43.66,0.454439,42.4235,44.4222,44.4642,45.5212
100,0.03,8,42.98,0.546699,41.6835,43.659,43.991,45.1765
100,0.03,9,43.36,0.574586,43.2212,44.1182,44.2428,45.3914
100,0.03,10,44,0.421715,41.811,45.1944,44.8677,45.8067
100,0.03,11,43.98,0.563684,43.5343,44.654,45.0549,45.9035
100,0.03,12,43,0.57786,40.6568,43.8675,44.0023,45.0649
100,0.03,13,42.9,0.447115,41.1466,43.6427,43.801,44.9588
100,0.03,14,44.02,0.646505,44.6468,45.3412,45.1187,45.9079
100,0.03,15,43.98,0.535194,42.7507,44.5092,44.7097,45.6854
100,0.03,16,44.34,0.597236,43.2611,45.0175,45.3298,46.1331
100,0.03,17,44,0.608027,42.2252,45.0055,45.1378,45.9576
