source,target,value
93,114,0.226190476
93,132,0.1875
93,135,0.066666667
93,138,0.133333333
93,144,0.233333333
93,150,2.9
94,115,0.177339901
94,120,0.036363636
94,150,1.583333333
95,99,2.8
95,101,5.236032389
95,103,0.8
95,105,5.888461538
95,111,0.153846154
95,113,0.5
95,114,3.504761905
95,117,0.024390244
95,122,1.0
95,130,0.133333333
95,131,0.75
95,133,2.0
95,135,0.333333333
95,136,5.865079365
95,137,1.622222222
95,141,2.364516129
95,144,0.058823529
95,146,1.5
95,150,13.2
95,151,0.485714286
95,152,0.32
95,155,0.5
95,156,2.083333333
95,159,3.666666667
96,114,0.1
97,128,0.142857143
98,99,0.2
98,100,0.215555556
98,101,0.916666667
98,104,0.153846154
98,107,0.117647059
98,114,0.6
98,122,0.125
98,123,1.0
98,128,0.522222222
98,133,0.090909091
98,139,0.581818182
98,143,9.0
98,144,0.863492063
98,145,3.2
98,150,2.1
98,152,0.058823529
98,157,3.0
