,,plant_ge,Aralia,Chimaphila,Clintonia,Cornus,Cypripedium,Linnaea,Maianthemum,Medeola,Oxalis,Pyrola,Trientalis,Trillium,,,,,,,,,,,,,,,,,,,
,,plant_sp,nudicaulis,umbellata,borealis,canadensis,acaule,borealis,canadense,virginiana,montana,secunda,borealis,undulatum,,,,,,,,,,,,,,,,,,,
Orthoneura,pulchella,68,0,0,0,2,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
Osmia,lignaria,69,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
Osmia,proxima,70,0,0,0,2,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
Osmia,pumila,71,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
Paramyia,nitens,72,0,61,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
Parasyrphus,relictus,73,0,0,2,7,0,0,41,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
Passaloecus,sp.,74,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
Pegohylemyia,fugax,75,0,0,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
Phalaenophana,pyramusalis,76,0,0,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
Phaonia,serva,77,0,0,0,1,0,2,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
Pidonia,ruficolis,78,0,0,1,8,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
Pieris,napi,79,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
Poanes,hobomok,80,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
Psithyrus,sp.,81,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
Pyrophaena,rosarum,82,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
Rhopalum,sp.,83,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
Sarcophaga,nearctica,84,0,0,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
Sphaerophoria,bifurcata,85,0,0,0,1,0,1,1,0,0,0,1,1,,,,,,,,,,,,,,,,,,,
Sphaerophoria,longipilosa,86,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
Sphaerophoria,sp.,87,0,0,1,0,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
Sphecodes,sp.,88,0,0,0,2,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
Syritta,pipiens,89,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
Syritta,rectus,90,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
Temnostoma,alternans,91,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
Temnostoma,balyras,92,0,0,0,3,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
Temnostoma,barberi,93,0,0,0,2,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
Thamnotettix,confinis,94,0,0,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
Trachysida,aspera,95,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
Tropidia,quadrata,96,0,0,0,2,0,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
Tychius,stephensi,97,0,0,0,3,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
Vespula,arenaria,98,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,
Xylota,bigelowi,99,0,0,0,10,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
Xylota,hinei,100,0,0,0,2,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
Xylota,sp.,101,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
Zeraea,americana,102,0,0,0,1,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
