source,target,value,greedy_pairing,pagerank_pairing,regret_pairing
12,101,2.152380952,0,0,0
12,103,0.4,0,0,0
12,104,2.412518854,0,0,0
12,106,0.666666667,0,0,0
12,111,0.153846154,0,0,0
12,113,1.428571429,0,0,0
12,114,9.094722477,0,0,0
12,115,6.254112554,0,0,0
12,117,3.5,0,0,0
12,122,6.974603175,0,0,0
12,124,0.902020202,0,0,0
12,125,1.75,0,0,0
12,126,1.436825397,0,0,0
12,127,0.6,0,1,0
12,128,1.365079365,0,0,0
12,130,1.995238095,0,0,0
12,131,1.2,0,0,0
12,132,0.761904762,0,0,0
12,133,13.58227968,0,0,0
12,134,0.4,0,0,0
12,135,2.046666667,0,0,0
12,138,5.807246377,0,0,0
12,139,5.034025234,0,0,0
12,141,0.281182796,0,0,0
12,144,2.740808081,0,0,0
12,145,5.480952381,0,0,0
12,147,0.08,0,0,0
12,150,74.46666667,1,0,1
12,152,1.742063492,0,0,0
12,155,0.857142857,0,0,0
12,156,6.426666667,0,0,0
12,161,0.644444444,0,0,0
13,141,0.322222222,0,0,0
14,117,0.173913043,0,0,0
15,101,0.222186235,0,0,0
15,114,0.192156863,0,0,0
15,115,0.316369293,1,1,0
15,119,0.05,0,0,0
15,128,0.722222222,0,0,1
15,130,0.02,0,0,0
15,132,0.257738095,0,0,0
15,135,0.5,0,0,0
15,138,0.166666667,0,0,0
15,144,0.155555556,0,0,0
15,145,0.5,0,0,0
15,147,0.407857143,0,0,0
15,148,0.195,0,0,0
15,149,0.028571429,0,0,0
15,150,7.0,0,0,0
15,152,0.111111111,0,0,0
15,156,0.181818182,0,0,0
16,133,0.5,0,1,0
17,117,0.066666667,0,0,0
18,133,0.25,0,0,0
19,150,0.666666667,0,0,0
20,137,0.1,1,1,0
21,120,0.068965517,1,0,1
22,109,0.026666667,0,0,0
22,114,0.35,0,0,0
22,117,0.533333333,1,1,1
22,133,0.25,0,0,0
22,144,1.098701299,0,0,0
22,145,0.2,0,0,0
22,156,0.333333333,0,0,0
23,117,0.013333333,0,0,0
24,109,0.25,1,1,1
25,99,0.066666667,0,0,0
25,101,0.485714286,0,0,0
25,105,0.287179487,0,0,0
25,114,0.466666667,0,0,0
25,115,1.639963545,0,0,1
25,119,0.05,0,0,0
