,,,Plant species,Antirhea borbonica,Aphloia theiformis,Ardisia crenate,Badula insularis,Badula platiphylla,Bertiera zaluzania,Calophyllum eputamen var eputamen,Casearia coriacea,Chassalia coriacea var coriacea,Claoxylon linostachys ssp brachyphyllum,Clidemia hirta,Coffea macrocarpa,Coffea mauritiana,Cordemoya integrifolia,Croton fothergillifolius,Croton grangeroides,Diospyros revaughanii,Dodonaea viscosa ,Doratoxylon apetalum var diphyllum,Dracaena reflexa var angustifolia,Embelia angustifolia,Erythrospermum monticolum var monticolum,Erythroxylum macrocarpum,Eugenia orbiculata,Euodia chapelieri var chapelieri,Euodia obtusifolia ssp gigas var gigas,Faujasiopsis flexuosa ssp erecta,Flagellaria indica,Gaertnera psychotrioides/edentata,Gaertnera rotundifolia,Grangeria borbonica,Harungana madagascariensis,Helichrysum proteoides,Homalanthus populifolius,Labourdonnaisia callophylloides,Molinaea alternifolia,Molinaea macrantha,Myonima violacea var ovata,Ochna mauritiana,Olea lancea,Ossaea marginata,Phyllanthus phillyreifolius var telfairianus,Pittosporum senacia,Psathura terniflora,Psiadia terebinthina,Psidium cattleianum,Rubus alcefolius,Sideroxylon cinereum,Sideroxylon puberulum,Smilax anceps,Stillingia lineata ssp lineata,Syzygium commersonii,Syzygium coriaceum,Syzygium glomeratum,Syzygium petrinese,Tabernaemontana persicarifolia,Toddalia asiatica,Tristhema mauritiana,Trochetia blackburniana,Turraea rigida,Warneckea trinervis,Wikstroemia indica,Xylopia lamarckii ,
,,,Plant family,Euphorbiaceae,Rubiaceae,Flacourtiaceae,Myrsinaceae,Myrsinaceae,Myrsinaceae,Rubiaceae,Clusiaceae,Flacourtiaceae,Rubiaceae,Euphorbiaceae,Melastomataceae,Rubiaceae,Rubiaceae,Euphorbiaceae,Euphorbiaceae,Euphorbiaceae,Ebenaceae,Sapindaceae,Sapindaceae,Dracaenaceae,Myrsinaceae,Flacourtiaceae,Erythroxylaceae,Myrtaceae,Rutaceae,Rutaceae,Asteraceae,Flagellariaceae,Rubiaceae,Rubiaceae,Chrysobalanaceae,Clusiaceae,Asteraceae,Euphorbiaceae,Sapotaceae,Sapindaceae,Sapindaceae,Rubiaceae,Ochnaceae,Oleaceae,Melastomataceae,Euphorbiaceae,Pittosporaceae,Rubiaceae,Asteraceae,Myrtaceae,Rosaceae,Sapotaceae,Sapotaceae,Smilacaceae,Euphorbiaceae,Myrtaceae,Myrtaceae,Myrtaceae,Myrtaceae,Apocynaceae,Rutaceae,Melastomataceae,Malvaceae,Meliaceae,Melastomataceae,Thymelaeaceae,Annonaceae
,,,Origin,2,2,2,3,1,1,1,1,2,1,1,3,1,2,2,1,1,1,2,2,2,2,1,1,1,2,2,1,2,1,1,2,3,1,3,2,2,1,1,1,2,3,1,2,1,1,3,3,1,1,2,2,1,1,1,1,1,2,2,1,1,1,3,1
Cixiidae sp 2,Cixiidae,4,0.066666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.066666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cotesia sp1,Braconidae,4,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cratopus psittacus Faimaire,Curculionidae,4,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0
Cryptocephalinae sp 1,Chrysomelidae,4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dasytinae sp 1,Melyridae,4,0.068965517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.068965517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dioxyna sororcula Wiedemann,Tephritidae,3,2.792034632,0,0,0,0,0,0,0,0,0,0,0.026666667,0,0,0,0,0.35,0,0,0.533333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,1.098701299,0.2,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0
Diptera sp 2,(blank),4,0.013333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diptera sp 3,(blank),4,0.25,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dysauxes florida Joan.,Arctiidae,1,20.48697829,0.066666667,0,0.485714286,0,0,0,0.287179487,0,0,0,0,0,0,0,0,0.466666667,1.639963545,0,0,0,0.05,0,0,1.217094017,0,0,0,4.554761905,0,0,0,1.366666667,0,0.483333333,0,0,0.266666667,0,3.333333333,0,0,0,0.114516129,0,1,2.871645022,0,0,0.18,0.114285714,0,0,0,0,0,0,0,1.988484848,0,0,0,0,0,0
Episyrphus sp. near circularis Hull,Syrphidae,2,3.26955267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.375,0.05,0.072727273,0,0.619047619,0,0,0,0,0,0.547222222,0,0,0,0,0.35,0,0.2,0,0,0,0,0,0,0,0,0.022222222,0,0,0.033333333,0,0,0.5,0,0,0.3,0,0,0,0,0,0,0,0,0
Eristalinus flaveolus Bigot,Syrphidae,2,4.527016894,0,0.111111111,1.178614806,0,0,0,0,0,0.661497326,0,0,0,0,0,0,0,0,0,0,0,0.033333333,0,0,0.222222222,0,0,0,0,0,0,0,0.166666667,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0.952380952,0,0.058333333,0,0,0.8,0,0.142857143,0,0,0,0,0,0,0,0,0,0
Eumolpinae sp 2,Chrysomelidae,4,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eumolpinae sp 3,Chrysomelidae,4,0.361904762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133333333,0,0,0,0,0,0,0,0.228571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eurytonidae sp 1,Calcidoidae,4,0.111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fannia pusio Wiedemann,Fanniidae,3,13.80069033,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.133333333,0,0,0.013333333,0,0,0,0,0,0,0,0,1.6,0,0,0,0,0,0.0625,4.503103753,0,1.12,0,0,0,0,0,0,0,0,0,0,0,3.035562771,0,0,2.75,0,0,0,0.142857143,0,0.24,0,0,0,0,0,0
Gelechioidea sp 1,Gelechiidae,4,0.083333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.083333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gelechioidea sp 2,Gelechiidae,4,2.121498921,0,0,0.222222222,0,0,0,0,0,0,0,0,0,0,0,0,0.909502262,0,0,0,0,0,0,0,0.857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.052631579,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gelechioidea sp 3,Gelechiidae,4,0.333333333,0,0,0.222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Goniurellia or Dectodes sp,Tephritidae,4,0.281818182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.281818182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Graphomya maculata Scopoli,Muscidae,2,0.013333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Henotesia narcissus Fabricius,Nymphalidae,2,0.31952381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.302857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hippotion eson Cramer,Sphingidae,2,0.222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Homoneura sp 2,Lauxaniidae,1,0.02739726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02739726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Homoneura sp 3,Lauxaniidae,1,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hydrotaea fuliginosa Robineau-Desvoidy,Muscidae,2,0.133333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ischiodon aegyptius Wiedemann,Syrphidae,3,2.671428571,0,0,0,0,0,0,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0.285714286,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0.233333333,0,0,0,0,0,0,0.685714286,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Lecithoceridae sp 1,Gelechiidae,4,0.663333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leptotes pirithous Linnaeus,Lycaenidae,2,1.487619048,0,0,0,0,0,0,0,0,0,0.714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24,0,0.1,0,0,0,0,0,0,0.1,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0
Limnophora quaterna Loew,Muscidae,3,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lygaeidae sp 2,Lygaeidae,4,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lygaeidae sp 3,Lygaeidae,4,0.133333333,0,0,0.133333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lygaeidae sp 5,Lygaeidae,4,2.157142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.157142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lygistorrhina sp,Mycetophilidae,2,8.964365079,0,0,0,0,0,0,0,0,0,0,0.106666667,0,0,0,0.125,1.130952381,0,0,0.04,0,0,0,0,2.822222222,0,0,0,1.885714286,0,0,0,0,0,0,0,0,0.4,0,0.057142857,0,0,0,0,0,0,0.433333333,0,0,0,0.63,0,1.333333333,0,0,0,0,0,0,0,0,0,0,0,0
Macroglossum milvus Boisduval,Macroglossidae,2,0.452380952,0,0,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritiborium undulatus,Cerambycidae,1,2.773938224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133333333,0,0,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0.081081081,0,0,0,0,0,0,0,0,0,0,0.242857143,0,0,0,0,0,1.4,0,0,0,0,0,0.25,0,0,0,0,0,0
Melanagromyza sojae Zehntner,Agromyzidae,3,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Melanostoma annulipes Macquart,Syrphidae,2,6.051893183,0,0,2.472161172,0,0,0,0,0,0,0,0,0,0,0,0,0.152631579,0,0,0.086956522,0,0.016666667,0,0,1.066666667,0,0,0,0,0,0,0,0,0,0,0.727027027,0,0,0,0,0.166666667,0,0,0,0,0,0.428571429,0,0,0.410909091,0,0,0,0,0,0,0,0,0.523636364,0,0,0,0,0,0
