width,noise,instance_number,greedy_mean,greedy_stdev,pagerank_value,regret_value,optimal_value
100,0.6,5,40.77,0.765509,40.6808,43.9648,46.0544
100,0.6,6,41.78,0.730698,41.3616,44.9076,47.143
100,0.6,7,40.88,0.667612,41.4911,43.686,45.5469
100,0.6,8,40.57,0.705655,41.7338,43.7389,44.9641
100,0.6,9,40.5,0.778422,40.8026,42.8131,45.2675
100,0.6,10,39.97,0.665968,40.8288,42.1513,45.2768
100,0.6,11,40.39,0.639934,41.0194,43.336,45.444
100,0.6,12,39.6,0.706687,40.4118,42.9822,44.8134
100,0.6,13,40.68,0.662736,40.9235,43.8189,45.7534
100,0.6,14,40.28,0.674629,41.0628,42.8357,45.0504
100,0.6,15,39.9,0.719135,40.929,41.9404,45.0066
100,0.6,16,40.74,0.665212,40.8384,43.4482,45.3236
100,0.6,17,41.83,0.666803,42.1028,44.8162,46.79
100,0.6,18,41.35,0.634197,41.4628,43.6605,46.0579
100,0.6,19,38.95,0.724294,39.8988,42.1639,44.14
100,0.6,20,40.48,0.72796,40.9053,42.9989,45.8112
100,0.6,21,39.89,0.693905,40.4822,42.4056,44.8311
100,0.6,22,41.29,0.660042,41.8406,43.2533,45.9638
100,0.6,23,41.99,0.734414,42.6304,44.5716,46.9881
100,0.6,24,39.99,0.677062,40.2601,42.9602,44.9126
100,0.6,25,41.26,0.742615,41.6033,44.2156,46.3514
100,0.6,26,41.19,0.700049,40.9827,44.1542,45.9753
100,0.6,27,40.31,0.72581,40.6641,42.7392,45.216
100,0.6,28,39.66,0.754087,39.3883,42.8849,44.6939
100,0.6,29,40.44,0.689194,40.2876,43.2421,45.5465
100,0.6,30,40.57,0.702321,40.9851,43.638,45.2607
100,0.6,31,39.49,0.710804,39.8363,42.3659,44.2833
100,0.6,32,41.46,0.719936,41.4049,44.2324,45.933
100,0.6,33,39.16,0.678304,39.8042,41.5424,44.6696
100,0.6,34,41.62,0.60266,42.0004,43.603,46.3968
100,0.6,35,40.69,0.70939,41.5619,43.4886,45.2736
100,0.6,36,40.78,0.697146,41.8422,43.7569,45.8971
100,0.6,37,40.97,0.724168,41.5778,43.9495,46.4269
100,0.6,38,40.29,0.716352,40.7096,43.1655,44.9521
100,0.6,39,40.72,0.677635,41.2738,43.4662,45.9857
100,0.6,40,41.19,0.651924,41.9851,43.5013,45.346
100,0.6,41,40,0.716245,40.1522,42.598,45.1891
100,0.6,42,40.47,0.680775,40.4599,43.3505,45.6985
100,0.6,43,42.33,0.725925,42.3574,44.6019,46.8074
100,0.6,44,40.53,0.680406,41.3625,42.892,45.6388
100,0.6,45,41.46,0.662179,41.4896,44.7094,46.8025
100,0.6,46,39.5,0.659256,39.7128,42.8163,44.6094
100,0.6,47,40.65,0.715689,41.2654,43.1857,46.0829
100,0.6,48,39.43,0.780598,40.094,42.26,44.7647
100,0.6,49,41.31,0.706993,42.3151,43.8696,45.9553
100,0.7,0,42.04,0.706983,42.494,43.1748,46.2994
100,0.7,1,39.73,0.582115,39.6744,41.7234,43.798
100,0.7,2,41.53,0.729346,41.4078,43.8823,46.1007
100,0.7,3,41.66,0.661285,42.1418,44.1234,46.0334
100,0.7,4,40.64,0.678177,41.5682,43.1411,44.9635
100,0.7,5,41.82,0.688104,42.355,43.8771,46.2886
100,0.7,6,43.24,0.676363,44.314,45.7619,47.6235
100,0.7,7,41.46,0.687672,41.6395,44.0089,45.7332
100,0.7,8,40.8,0.698514,40.5953,43.3647,45.4062
100,0.7,9,41.8,0.667698,42.4755,43.4583,45.6523
100,0.7,10,42.53,0.712773,42.9517,44.4334,46.6198
100,0.7,11,40.33,0.657068,40.4889,42.2718,44.3677
100,0.7,12,41.1,0.728131,41.5988,43.4792,45.0403
100,0.7,13,41.16,0.662538,42.0402,43.5962,45.3127
100,0.7,14,40.82,0.678883,41.2635,42.6216,44.9007
100,0.7,15,41.18,0.697397,41.5244,43.8045,44.8252
100,0.7,16,42.12,0.628236,43.319,44.0217,46.2362
100,0.7,17,41.77,0.641587,41.8482,43.3565,46.0597
100,0.7,18,41.49,0.717316,41.5889,43.5438,45.8236
100,0.7,19,42.63,0.632825,43.1966,45.0553,46.8164
100,0.7,20,42.6,0.704637,42.3282,45.3119,46.756
100,0.7,21,42.49,0.653044,42.8488,44.5224,46.5056
100,0.7,22,41.6,0.653975,41.4919,43.4004,45.6944
100,0.7,23,40.51,0.643295,41.2423,42.8804,44.7945
100,0.7,24,40.97,0.642387,41.5027,42.642,45.0585
100,0.7,25,41.41,0.68693,42.0927,43.7691,45.7417
100,0.7,26,41.61,0.683748,42.8455,43.9572,45.9442
100,0.7,27,42.36,0.697375,42.6338,44.4796,46.1792
100,0.7,28,40.86,0.692979,41.2551,43.3021,44.7817
100,0.7,29,42.63,0.662618,43.6559,45.051,46.6833
100,0.7,30,41.22,0.689644,41.3818,43.55,45.5424
100,0.7,31,41.55,0.703041,42.339,42.9101,45.5125
